iter	Passed	Remaining
0	1	130
1	2	106
2	3	99
3	3	91
4	4	88
5	5	83
6	6	80
7	6	78
8	7	78
9	8	77
10	9	76
11	12	93
12	13	93
13	15	93
14	16	90
15	16	88
16	17	86
17	18	84
18	19	82
19	20	80
20	20	78
21	21	76
22	22	74
23	23	73
24	23	71
25	24	70
26	28	75
27	29	75
28	29	73
29	30	72
30	31	70
31	32	69
32	33	67
33	34	66
34	34	64
35	35	63
36	36	61
37	37	60
38	37	59
39	38	57
40	39	56
41	39	54
42	40	53
43	43	55
44	44	53
45	45	52
46	46	52
47	47	51
48	48	50
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	52	42
55	53	41
56	54	40
57	54	39
58	58	40
59	60	40
60	61	39
61	62	38
62	63	37
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	68	29
70	72	29
71	73	28
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	80	21
79	81	20
80	82	19
81	83	18
82	83	17
83	86	16
84	87	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	95	7
93	96	6
94	97	5
95	97	4
96	98	3
97	102	2
98	103	1
99	104	0
